Designator,Footprint,Quantity,Value,LCSC Part #
"C0, C1_13, C1_12, C1_11, C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_3, C1_2, C1, C2, C3_3, C9",C0402,16,C-0402-0.1uF-16V,C1525
"C1_4, C2_2, C3_2, C3",0603,4,10µF,
F1,0805,1,Fuse_0805_2012Metric,
"H0, H1, H10, H11, H12, H13, H14, H15, H2, H3, H4, H5, H6, H7, H8, H9",CONN-SMD_SM03B-SRSS-TB-LF-SN-P,16,JST-SM03B,C160403
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
"R1, R4, R5, R6",0603,4,5.11K,
"R10_2, R10, R11, R12, R8",0603,5,10K,
R3,0603,1,1M,
R7,0603,1,1K,
R9,0603,1,2.4K,
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOIC-24_L15.4-W7.5-P1.27-LS10.3-BL,1,CD74HC4067M96,C496123
"U4, U5, U6",SOIC-8_3.9x4.9mm_Pitch1.27mm,3,OPA340UA,C22365307
